City,Lat,Long,CompositeIndex,GroceryItems,Housing,Utilities,Transportation,HealthCare,Miscellaneous
"Glenwood, Springs, CO",39.5505376,-107.3247762,124,103.3,169,89,110.9,112,108.7
"Grand, Junction, CO",39.0638705,-108.5506486,98.3,101.9,105.4,86.4,99.1,103.8,93.1
"Grand, Rapids, MI",42.9633599,-85.6680863,90.7,102.7,77.6,100.6,103.7,94.4,90
"Green, Bay, WI",44.519159,-88.019826,95.1,88.8,83.5,118.6,100.2,105.9,97.7
"Greenville, NC",35.612661,-77.3663538,98.5,105.9,84.4,108.5,97.6,113.5,103.3
"Greenville, SC",34.8526176,-82.3940104,90.3,102.7,72.9,90.1,97.1,98.2,97.7
"Gunnison, CO",38.5458246,-106.9253207,110,110.6,134.5,85.7,99,97.3,100.6
"Hammond, LA",30.5043583,-90.4611995,95.9,99,95.8,84.8,93,97.4,98.9
"Hampton, Roads-SE, Virginia, VA",36.7862239,-76.5488232,111.7,106.6,121.9,108.4,104.1,109.6,108.4
"Harlingen, TX",26.1906306,-97.6961026,82.8,81.5,75.8,105.6,88.7,95.2,79.1
"Harrisburg, PA",40.2737002,-76.8844179,99.7,97.8,91.5,110.5,100.2,93.8,105.1
"Harrisonburg, VA",38.4495688,-78.8689155,97,97.5,96.8,96.8,90.4,100.8,98.6
"Hartford, CT",41.7637111,-72.6850932,121.8,120.7,137.8,120.7,109,113,113.5
"Hastings, NE",40.5862583,-98.3898726,93.4,103.7,89.1,94,87.6,85.8,95.6
"Hattiesburg, MS",31.3271189,-89.2903392,91.9,100.5,74.6,110.3,96.9,95.4,96.2
"Hays, KS",38.8791783,-99.3267702,89.4,92,78.8,92.4,97.5,90.7,94.2
"Hickory, NC",35.7331878,-81.3411974,92.9,101.1,91.3,92.3,86.5,93.8,93
"Hilton, Head, Island, SC",32.216316,-80.752608,114.1,111.4,119.8,100.4,101.6,110.7,118.5
"Honolulu, HI",21.3069444,-157.8583333,165.7,160.1,249,146.6,126.2,120,117.9
"Hot, Springs, AR",34.5037004,-93.0551795,93.8,97.3,85.3,95.7,85.6,84.8,102.9
"Houston, TX",29.7601927,-95.3693896,92.2,85.1,82,97.7,99.2,94.6,99.9
"Huntsville, AL",34.7303688,-86.5861037,91.2,94.9,78.7,86.1,99.7,92,99.8
"Hutchinson, KS",38.0608445,-97.9297743,94,89,92.3,84.4,96.5,94.2,99.6
"Idaho, Falls, ID",43.4916514,-112.0339645,90.6,99.5,78,84.9,102.1,93.2,96.3
"Indiana, County, PA",40.6850762,-79.1096901,93.3,99.7,84.2,97.7,97.7,91.1,96.4
"Indianapolis, IN",39.7685155,-86.1580736,87.2,91.4,73.4,86.7,100.5,93.6,93.1
"Iowa, City, IA",41.6611277,-91.5301683,96.2,94.9,97.3,80.1,102.8,95.4,99
"Ithaca, NY",42.4439614,-76.5018807,102.8,102.9,104.4,110.4,104.7,106.6,98.1
"Jackson, MS",32.2987573,-90.1848103,96.9,93,94,118.1,92,95.7,96.1
"Jackson-Madison, County, TN",35.6145169,-88.8139469,90.2,91.1,74.2,98.9,100,91.5,98.1
"Jacksonville, FL",30.3321838,-81.655651,92.9,102.8,80,91.9,103.6,94.5,97.3
"Jacksonville, NC",34.7540524,-77.4302414,96.5,103.2,88,99.2,97.8,101.2,99.6
"Janesville, WI",42.6827885,-89.0187222,96.2,95,91.3,99.3,99.3,103.1,98.2
"Jefferson, City, MO",38.5767017,-92.1735164,92.9,93.9,78.5,97.6,93.3,95,103.4
"Johnson, City, TN",36.3134397,-82.3534727,86.7,92.3,74.4,89.1,91.7,91.5,92.6
"Johnstown, PA",40.3267407,-78.9219698,92.9,97.7,79.4,101,101.6,90.4,98.1
"Joliet-Will, County, IL",41.525031,-88.0817251,102.2,100.9,102.3,116.1,111.3,106.5,95.2
"Jonesboro, AR",35.8422967,-90.704279,88.9,97.5,75.1,91.1,88.8,85.9,97.3
"Joplin, MO",37.0842271,-94.513281,88.8,92.2,75.9,108.1,91.8,89.5,92
"Juneau, AK",58.3019444,-134.4197222,136.5,133.1,165.7,135.1,121.2,144.4,116.1
"Kalamazoo, MI",42.2917069,-85.5872286,91.2,95.6,81.3,101.8,99.4,92.5,92.4
"Kalispell, MT",48.200531,-114.315102,98.8,116.3,95.5,82,103.6,104.8,97.8
"Kansas, City, MO-KS",39.0653602,-94.5624426,97.8,94.8,89.2,99.8,100.8,97.2,105.1
"Kennewick-Richland-Pasco, WA",46.1093145,-119.1994766,92.6,90.9,85.9,85.1,106.1,109.9,95.2
"Kinston, NC",35.2626635,-77.5816353,93.8,102.5,76.1,108.8,96.7,102.9,99.3
"Knoxville, TN",35.9606384,-83.9207392,89.4,91.4,82,95.1,84.2,88.4,95.1
"Kodiak, AK",57.79,-152.4072222,128.7,149.4,127.8,131.9,143.4,130.7,115.4
"Lafayette, IN",40.4167022,-86.8752869,98.2,95.6,82.4,116.5,106.2,116.3,102.7
"Lafayette, LA",30.2240897,-92.0198427,99.2,93.5,110.1,81.2,104,88.8,97.3
"Lake, Charles, LA",30.2265949,-93.2173758,97.4,99.8,103.4,89.5,97.1,84.4,95.4
"Lake, Havasu, City, AZ",34.483901,-114.3224548,111.8,107,139.3,95.9,93.5,98,101.7
"Lancaster, PA",40.0378755,-76.3055144,106.8,101.3,118.4,111,99.7,95.1,100.9
"Laramie, WY",41.3113669,-105.5911007,97,105.1,102.3,90.5,91.6,97.5,92.7
"Las, Cruces, NM",32.3199396,-106.7636538,100.6,103.7,104.4,93.7,99,96.5,99.1
"Las, Vegas, NV",36.114646,-115.172816,101.9,106.8,94.1,97.7,104.9,109,106.2
"Lawrence, KS",38.9716689,-95.2352501,94.6,89.1,96,91.9,96.2,97.5,95.6
"Lawton, OK",34.6035669,-98.3959291,93.8,96.3,87,87.5,106.9,96.2,96.6
"Lexington, KY",38.0405837,-84.5037164,92.8,86.9,88.7,93.9,97.6,93.7,97.1
"Lexington-Buena, Vista-Rockbridge, VA",37.7486008,-79.2966929,93.7,92.1,97.8,94.3,91.2,90.7,91.7
"Lima, OH",40.742551,-84.1052256,93.1,101.9,69.8,102.5,100.7,107.7,103.2
"Little, Rock-North, Little, Rock, AR",34.7993018,-92.3021766,96.5,92.9,92.2,104.1,94,93.5,100.4
"Logan, UT",41.7369803,-111.8338359,95.6,104.7,68.4,85.3,113.6,97.2,113.7
"Los, Alamos, NM",35.8880796,-106.3069722,109.7,97.1,128.1,91.2,110.7,102.6,104.7
"Los, Angeles-Long, Beach, CA",33.768321,-118.1956168,136.4,106,207.1,101.7,113.6,109.1,107
"Louisville, KY",38.2526647,-85.7584557,87.7,81.6,78.7,99.1,96.9,87.2,91.9
"Loveland, CO",40.3977612,-105.0749801,91,102.7,79.3,89.6,91.4,100.3,95.7
"Lubbock, TX",33.5778631,-101.8551665,89.1,90,80.4,74.8,97.6,98.3,97.1
"Lufkin, TX",31.3382406,-94.729097,92.4,87.8,83.4,98.7,94,105.5,98.3
"Lynchburg, VA",37.4137536,-79.1422464,95.1,90.7,92.7,109.7,88.8,100.1,95.8
"Manchester, NH",42.9956397,-71.4547891,116.8,102.3,117,124.5,100.1,116.1,125
"Manhattan, KS",39.1836082,-96.5716694,95,92.5,98.7,86.9,99,91.6,94.4
"Mankato, MN",44.1635775,-93.9993996,93,93.8,76.5,113.5,103.1,104.3,96.4
"Marietta, GA",33.952602,-84.5499327,94.8,96.8,84.7,90.3,97.1,107.9,101.9
"Marion-McDowell, County, NC",35.6840131,-82.0092745,92.1,103.1,87.9,94,89.5,96.3,90.9
"Marshfield, WI",44.6688524,-90.1717987,94.2,95.3,92.2,99.9,96.8,103.6,91.7
"Martinsburg-Berkeley, County, WV",39.4562099,-77.9638869,89.6,91.5,82.7,85.9,103.9,99.9,90.6
"Martinsville-Henry, County, VA",36.6512619,-79.8744836,87.1,94,77.6,89.1,82.9,87.6,93.2
"Mason, City, IA",43.1535728,-93.2010367,89.1,89.4,73.1,105.6,99.5,94.8,94.2
"McAllen, TX",26.2034071,-98.2300124,85,79.8,77.6,103.1,92.4,97.9,84.3
"Memphis, TN",35.1495343,-90.0489801,88.2,92.7,76.2,86.9,91.5,98.6,95.2
"Miami-Dade, County, FL",25.7889689,-80.2264393,106,110.9,107.7,91.9,108.8,105.7,106.2
"Middlesex-Monmouth, NJ",40.1246209,-74.4755294,124.8,108.9,154.1,128.6,103.9,108.9,112.2
"Midland, TX",31.9973456,-102.0779146,93.2,89.7,89.2,93.4,95.7,98.7,96.6
"Milwaukee-Waukesha, WI",43.0389025,-87.9064736,101.9,98.1,112.7,98.6,99.2,108.1,94.8
"Minneapolis, MN",44.983334,-93.26667,111,111.6,116.8,104.7,103.7,105.4,110.4
"Minot, ND",48.2325095,-101.2962732,99.9,99.3,95.9,73.5,98.2,91,113.6
"Missoula, MT",46.8605189,-114.019501,99.4,110.2,92.2,98.3,102.2,107.2,100.1
"Mobile, AL",30.6943566,-88.0430541,92.7,102.7,80.4,104.4,93,86.5,96.7
"Monroe, LA",32.5093109,-92.1193012,92.7,95.8,83,89.1,97.5,96,99.3
"Montgomery, AL",32.3668052,-86.2999689,99.2,102.9,96,108.4,99.6,88,99.1
"Morgantown, WV",39.629526,-79.9558968,100.6,93.9,111.9,89.9,100.7,96.1,97.1
"Morristown, TN",36.2139814,-83.2948922,90.9,91.6,81.5,80.5,93.9,90.1,101.4
"Muncie, IN",40.1933767,-85.3863599,91,91,80.3,98.5,94.5,87.4,97.6
"Murfreesboro-Smyrna, TN",35.9470646,-86.487819,88.2,94.3,76.2,81,92.7,95.8,96.2
"Muskogee, OK",35.7478769,-95.3696909,86,98,68.3,97.5,80.8,96.7,93.5
"Myrtle, Beach, SC",33.6890603,-78.8866943,95.2,105.7,78.4,104.5,94.7,100.4,102.4
"Nacogdoches, TX",31.6035129,-94.6554874,92.5,91,83.3,97.7,93.8,102.6,98
"Nashville-Franklin, TN",36.0366153,-86.7868831,88.9,91.7,71.3,82.6,92.5,87.3,104.5
"Nassau, County, NY",40.6546145,-73.5594128,145.7,123,206.7,140.7,113.1,119.7,115.3
"New, Haven, CT",41.3081527,-72.9281577,122.1,117.9,134.9,123.5,106.3,112.7,117.9
"New, York, NY",40.7841484,-73.9661407,185.8,137.7,311.8,168.9,110.7,119.9,129.7
"Newark-Elizabeth, NJ",40.6639916,-74.2107006,129.7,111.6,168.5,129.2,103.9,103.1,113.9
"Norman, OK",35.2225668,-97.4394777,94.4,95.3,88.7,91.6,104,96.6,96.8
"Oakland, CA",37.8043637,-122.2711137,139.1,116.8,198.8,94.7,113.6,119.9,119
"Odessa, TX",31.8456816,-102.3676431,90.9,91.2,88.1,88.8,93.6,96.6,92.4
"Oklahoma, City, OK",35.4675602,-97.5164276,91.7,92.9,86,88.1,92.6,99.4,96.2
"Olympia, WA",47.0378741,-122.9006951,104.1,107.4,102.2,82.1,114.9,120.5,106
"Omaha, NE",41.2523634,-95.9979883,88.3,92,79.3,89.9,100,96.8,89.7
"Orange, County, CA",33.7174708,-117.8311428,146.4,104.5,242.8,103.2,114.6,111.6,105.2
"Orlando, FL",28.5383355,-81.3792365,97.8,97.8,85.4,108.5,101.8,95.5,104.5
"Paducah, KY",37.0833893,-88.6000478,87.3,94.8,75.8,96.5,86.6,90.3,91.3
"Palm, Springs, CA",33.8302961,-116.5452921,121.8,111.5,154.2,112.7,110.2,100.8,106.1
"Panama, City, FL",30.1588129,-85.6602058,99.4,93.7,101.5,99.7,108.8,94.5,97.6
"Paris, TX",33.6609389,-95.555513,88.9,93.6,80,87.4,94.1,94,93
"Pascagoula, MS",30.3657552,-88.5561272,92.3,101,84.3,91.4,97.4,91.6,94.6
"Peoria, IL",40.6936488,-89.5889864,96.3,93.4,95,97.2,101.4,95.8,96.8
"Philadelphia, PA",39.952335,-75.163789,126.5,124.9,141.3,135.9,105.8,108.2,119.6
"Phoenix, AZ",33.4483771,-112.0740373,100.7,108.1,90.4,96.6,108.9,108.8,104.6
"Pittsburgh, PA",40.4406248,-79.9958864,91.5,104.1,74.4,97,105.9,90.1,95.8
"Pittsfield, MA",42.4500845,-73.2453824,110.6,115,96.2,161.9,98.9,105,110
"Plano, TX",33.0198431,-96.6988856,97.4,101.3,85.2,103.9,101.8,102.9,102.6
"Plattsburgh, NY",44.6994873,-73.4529124,100.1,98.9,95.1,119.4,105.5,113,95.9
"Ponca, City, OK",36.706981,-97.0855948,90,94.8,76.6,93,94.4,94.4,97
"Portland, ME",43.661471,-70.2553259,116.5,101.8,143,102.9,111.8,109.7,105.5
"Portland, OR",45.5234515,-122.6762071,111.3,105.8,130.8,87.1,105.8,113.6,105.1
"Prescott-Prescott, Valley, AZ",34.6100243,-112.315721,103.7,95.2,118.1,91.8,100.3,97.8,99.7
"Providence, RI",41.8239891,-71.4128343,123.3,113.4,129,129,102.5,113.2,128.1
"Pryor, Creek, OK",36.2997222,-95.3138889,84.5,95,71.5,82.7,86.6,86,91.5
"Pueblo, CO",38.2544472,-104.6091409,85.6,100.5,71.5,80.1,93.8,94.1,90.1
"Quincy, IL",39.9356016,-91.4098726,95.5,97.4,94.5,95.5,94.2,99.8,95.5
"Raleigh, NC",35.772096,-78.6386145,98.2,104.2,88.8,105.6,96.7,101,101.9
"Reno-Sparks, NV",39.6537991,-119.7024095,101.1,105.4,101.5,91.2,107.3,101.8,100
"Richmond, IN",39.8289369,-84.8902382,90.8,83.3,84.6,106.4,98.4,95.1,91.7
"Richmond, VA",37.5407246,-77.4360481,104.5,103.6,103.2,113.9,100.8,112.6,103.2
"Rio, Rancho, NM",35.2327544,-106.6630437,95.1,92,90.5,88.6,94.7,100.2,101.8
"Riverside, City, CA",33.9533487,-117.3961564,112.5,104.9,136.3,99.9,113.4,104.4,99.1
"Roanoke, VA",37.2709704,-79.9414266,94.1,89.7,92.2,104.1,91.1,97.9,94.8
"Rochester, MN",44.0216306,-92.4698992,99.2,89.6,91.1,104.8,106.3,109.5,105
"Rochester, NY",43.16103,-77.6109219,100,94.6,94.2,114.4,108.7,99.7,100.2
"Rockford, IL",42.2711311,-89.0939952,92.4,92.6,74.7,111.2,105.8,103.3,96.8
"Roswell, NM",33.3942655,-104.5230242,95.9,105.6,82.9,104.3,97.5,101.2,99.9
"Round, Rock, TX",30.5082551,-97.678896,89.7,81.9,78,107,87.6,96.6,97.6
"Sacramento, CA",38.5815719,-121.4943996,116.2,114.7,135.7,109.6,114.4,110.8,102.8
"Salina, KS",38.8402805,-97.6114237,86.9,86.9,76,87,94.7,94.9,93.1
"Salt, Lake, City, UT",40.7607793,-111.8910474,100.6,100.1,108,72.5,102.1,98.8,102.9
"San, Angelo, TX",31.4637723,-100.4370375,92.4,89.3,84,106,97.6,96.7,94.9
"San, Antonio, TX",29.4241219,-98.4936282,95.7,84.9,95.3,82.8,100.7,99.9,102.2
"San, Diego, CA",32.7153292,-117.1572551,132.3,105.5,194.4,101.9,113.1,111.5,105.8
"San, Francisco, CA",37.7749295,-122.4194155,164,111.9,281,94.5,113,117,124.3
"San, Jose, CA",37.3393857,-121.8949555,156.1,115.3,260.3,137.2,114,119,103.6
"San, Marcos, TX",29.8832749,-97.9413941,94.8,88.7,100.1,86.8,90.1,92.6,96.8
"Sarasota, FL",27.3364347,-82.5306527,101.5,107.7,102.9,97.4,102.5,105.2,98.1
"Savannah, GA",32.0835407,-81.0998342,93.5,94.7,84,94,98.4,99,99.1
"Seattle, WA",47.6062095,-122.3320708,121.4,115.1,140.3,85.7,118.8,119.9,119.1
"Seguin, TX",29.5688411,-97.9647269,90.7,90.7,78.5,103.8,95.6,96.9,95.1
"Sheboygan, WI",43.7508284,-87.71453,101.4,94.3,97.5,117.3,105.9,105.5,100.8
"Shreveport-Bossier, City, LA",32.5251516,-93.7501789,95.3,95.2,93.5,89.4,93.4,93.1,99.6
"Sierra, Vista, AZ",31.5455001,-110.2772856,97.9,96.5,99.7,97.2,104,96.1,95.5
"Sioux, Falls, SD",43.5499749,-96.700327,94.1,91.5,86.6,101.6,86.9,102.2,100.6
"Slidell-St., Tammany, Parish, LA",30.2751945,-89.7811745,97,95.1,101,82.2,96.2,93.4,99.4
